1677442596679,8,6,24503520,12288,13312
1677442597680,26,3,32574832,41984,41984
1677442598681,54,3,41649816,95232,94208
1677442599682,93,2,28765176,171008,171008
1677442600682,141,3,42491096,263168,263168
1677442601682,199,5,35524704,375808,375808
1677442602683,267,4,56180144,510976,510976
1677442603684,345,6,52972496,665600,665600
1677442604685,433,6,51904776,839680,840704
1677442605686,530,6,60980696,1034240,1035264
1677442606687,629,4,57948504,1238016,1238016
1677442607688,729,4,55017080,1440768,1441792
1677442608688,829,4,53622240,1644544,1643520
1677442609689,926,5,96421768,1840128,1846272
1677442610690,1026,4,105763080,2050048,2041856
1677442611690,1125,5,112033736,2250752,2253824
1677442612691,1225,7,63972216,2445312,2457600
1677442613691,1325,6,69545240,2541568,2612224
1677442614691,1425,6,74034632,2541568,2643968
1677442615692,1523,6,74039880,2526208,2626560
1677442616693,1623,6,72920856,2541568,2643968
1677442617694,1723,5,138065992,2541568,2643968
1677442618694,1822,6,132622024,2541568,2642944
1677442619695,1922,6,125104024,2541568,2643968
1677442620695,2022,6,135068376,2540544,2643968
1677442621696,2122,6,124323120,2541568,2643968
1677442622697,2222,6,109297640,2541568,2642944
1677442623698,2321,6,92598128,2541568,2642944
1677442624698,2421,6,93977104,2538496,2643968
1677442625698,2521,5,158564616,2534400,2633728
1677442626700,2621,6,135319000,2541568,2643968
1677442627700,2721,6,105851680,2537472,2643968
1677442628700,2821,5,170139632,2523136,2621440
1677442629701,2916,6,135389696,2496512,2626560
1677442630701,3016,5,199585216,2541568,2611200
1677442631702,3116,7,163189760,2541568,2643968
1677442632702,3216,7,120670168,2541568,2643968
1677442633703,3316,5,185267584,2541568,2643968
1677442634703,3415,7,142052872,2541568,2642944
1677442635704,3515,6,123501016,2541568,2643968
1677442636705,3615,5,188063632,2541568,2643968
1677442637705,3715,7,138436832,2541568,2643968
1677442638707,3815,5,202894184,2541568,2643968
1677442639707,3912,7,177275456,2541568,2640896
1677442640708,4012,5,241692280,2540544,2643968
1677442641709,4112,7,183819528,2541568,2642944
1677442642709,4212,5,247882152,2515968,2643968
1677442643710,4312,7,177983368,2535424,2612224
1677442644710,4411,5,242256856,2541568,2642944
1677442645711,4511,7,172856832,2541568,2643968
1677442646712,4611,5,237222392,2541568,2643968
1677442647713,4711,7,155476352,2541568,2643968
1677442648714,4811,5,219756456,2541568,2643968
1677442649715,4911,5,284081944,2541568,2643968
1677442650716,5011,7,199276440,2541568,2643968
1677442651716,5106,5,263270136,2541568,2638848
1677442652717,5206,7,172363816,2541568,2643968
1677442653718,5306,5,236728224,2541568,2643968
1677442654718,5406,5,300875848,2529280,2643968
1677442655719,5506,7,203376680,2536448,2638848
1677442656720,5606,5,267534584,2541568,2631680
1677442657720,5706,5,331837336,2541568,2643968
1677442658721,5806,8,225535128,2541568,2643968
1677442659722,5905,5,289722816,2541568,2642944
1677442660723,6005,5,353839600,2541568,2643968
1677442661723,6102,8,242720656,2541568,2640896
1677442662724,6202,5,306846896,2541568,2643968
1677442663725,6302,5,371083648,2541568,2643968
1677442664725,6402,8,248986552,2541568,2643968
1677442665726,6502,5,313183864,2541568,2643968
1677442666727,6602,5,377321832,2541568,2643968
1677442667728,6702,8,252180992,2541568,2643968
1677442668729,6801,5,316155648,2541568,2642944
1677442669730,6901,5,380199824,2541568,2643968
1677442670731,7001,8,243771712,2541568,2643968
1677442671731,7101,5,307964168,2541568,2643968
1677442672731,7201,5,371607240,2512896,2633728
1677442673732,7301,9,226905416,2541568,2625536
1677442674733,7401,5,290910408,2541568,2643968
1677442675734,7501,6,355086616,2541568,2643968
1677442676734,7601,5,419264064,2541568,2643968
1677442677734,7696,9,268828336,2541568,2638848
1677442678735,7796,5,332843016,2541568,2643968
1677442679736,7896,6,396875208,2541568,2643968
1677442680736,7995,9,460933872,2541568,2642944
1677442681737,8095,7,298949784,2541568,2643968
1677442682737,8195,7,362959776,2541568,2643968
1677442683737,8295,7,427021928,2540544,2643968
